256,1,0%,7040,0
256,2,0%,6940,0
256,4,0%,6788,0
256,8,0%,6916,0
256,12,0%,7028,0
256,16,0%,6952,0
512,1,0%,6780,0
512,2,0%,7096,0
512,4,0%,7128,0
512,8,0%,6896,0
512,12,0%,6916,0
512,16,0%,6916,0
1024,1,0%,6716,0
1024,2,0%,7156,0
1024,4,0%,6924,0
1024,8,0%,6844,0
1024,12,0%,7200,0
1024,16,0%,7320,0
2048,1,0%,6784,0
2048,2,0%,7092,0
2048,4,0%,6784,0
2048,8,0%,7096,0
2048,12,0%,7156,0
2048,16,0%,7184,0
4096,1,0%,6852,0
4096,2,0%,6876,0
4096,4,0%,6788,0
4096,8,0%,6912,0
4096,12,0%,7236,0
4096,16,0%,7140,0
8192,1,0%,6724,0
8192,2,0%,7112,0
8192,4,0%,6820,0
8192,8,0%,7084,0
8192,12,0%,7208,0
8192,16,0%,7204,0
12288,1,0%,6860,0
12288,2,0%,6888,0
12288,4,0%,6824,0
12288,8,0%,6960,0
12288,12,0%,7156,0
12288,16,0%,7308,0
16384,1,0%,7148,0
16384,2,0%,7112,0
16384,4,0%,6920,0
16384,8,0%,7148,0
16384,12,0%,7164,0
16384,16,0%,7396,0
20480,1,0%,6860,0
20480,2,0%,6828,0
20480,4,0%,7208,0
20480,8,0%,7044,0
20480,12,0%,7644,0
20480,16,0%,7460,0
24576,1,0%,6940,0
24576,2,0%,6924,0
24576,4,0%,6932,0
24576,8,0%,7428,0
24576,12,0%,7404,0
24576,16,0%,7712,0
32768,1,0%,7104,0
32768,2,0%,7224,0
32768,4,0%,6988,0
32768,8,0%,7340,0
32768,12,0%,7444,0
32768,16,0%,7596,0
65536,1,0%,6788,0
65536,2,0%,7004,0
65536,4,0%,7112,0
65536,8,0%,7528,0
65536,12,0%,7740,0
65536,16,0%,8172,0
