256,1,99%,6612,0
256,2,199%,6900,0
256,4,399%,6744,0
256,8,799%,7108,0
256,12,1198%,7164,0
256,16,1597%,7184,0
512,1,99%,6820,0
512,2,199%,6688,0
512,4,399%,6692,0
512,8,799%,6900,0
512,12,1198%,7228,0
512,16,1597%,9408,0
1024,1,99%,6704,0
1024,2,199%,6720,0
1024,4,399%,6692,0
1024,8,799%,7068,0
1024,12,1198%,6944,0
1024,16,1597%,7112,0
2048,1,99%,6864,0
2048,2,199%,6952,0
2048,4,399%,6872,0
2048,8,799%,7068,0
2048,12,1198%,7004,0
2048,16,1597%,7204,0
4096,1,99%,6864,0
4096,2,199%,6972,0
4096,4,399%,6748,0
4096,8,799%,6956,0
4096,12,1198%,7040,0
4096,16,1597%,7172,0
8192,1,99%,6652,0
8192,2,199%,6992,0
8192,4,399%,7028,0
8192,8,799%,7032,0
8192,12,1198%,7172,0
8192,16,1597%,7624,0
12288,1,99%,6716,0
12288,2,199%,6764,0
12288,4,399%,6896,0
12288,8,799%,7108,0
12288,12,1198%,7584,0
12288,16,1597%,7432,0
16384,1,99%,7020,0
16384,2,199%,6980,0
16384,4,399%,7004,0
16384,8,799%,7088,0
16384,12,1198%,7604,0
16384,16,1597%,7888,0
20480,1,99%,6656,0
20480,2,199%,6976,0
20480,4,399%,7188,0
20480,8,799%,7392,0
20480,12,1198%,7644,0
20480,16,1597%,7996,0
24576,1,99%,6752,0
24576,2,199%,6832,0
24576,4,399%,7288,0
24576,8,799%,7352,0
24576,12,1198%,7652,0
24576,16,1597%,7812,0
32768,1,99%,6676,0
32768,2,199%,6928,0
32768,4,399%,7056,0
32768,8,799%,13372,0
32768,12,1198%,7768,0
32768,16,1597%,8156,0
65536,1,99%,6820,0
65536,2,199%,7060,0
65536,4,399%,7440,0
65536,8,799%,8140,0
65536,12,1198%,8428,0
65536,16,1597%,9164,0
