256,1,99%,6584,0
256,2,199%,6720,0
256,4,399%,6940,0
256,8,799%,6792,0
256,12,1198%,6944,0
256,16,1596%,7140,0
512,1,99%,6824,0
512,2,199%,6872,0
512,4,399%,6856,0
512,8,799%,7128,0
512,12,1198%,6992,0
512,16,1597%,7304,0
1024,1,99%,6912,0
1024,2,199%,6852,0
1024,4,399%,6808,0
1024,8,799%,7132,0
1024,12,1198%,6996,0
1024,16,1597%,7108,0
2048,1,99%,6824,0
2048,2,199%,6804,0
2048,4,399%,6800,0
2048,8,799%,6900,0
2048,12,1198%,7012,0
2048,16,1597%,7012,0
4096,1,99%,6644,0
4096,2,199%,6984,0
4096,4,399%,6844,0
4096,8,799%,6956,0
4096,12,1198%,7116,0
4096,16,1597%,7300,0
8192,1,99%,6840,0
8192,2,199%,6720,0
8192,4,399%,6936,0
8192,8,799%,7320,0
8192,12,1198%,7140,0
8192,16,1597%,7624,0
12288,1,99%,6716,0
12288,2,199%,6988,0
12288,4,399%,7036,0
12288,8,799%,7352,0
12288,12,1198%,7588,0
12288,16,1597%,7492,0
16384,1,99%,6732,0
16384,2,199%,7088,0
16384,4,399%,6920,0
16384,8,799%,7148,0
16384,12,1198%,7516,0
16384,16,1597%,7744,0
20480,1,99%,6748,0
20480,2,199%,6704,0
20480,4,399%,7180,0
20480,8,799%,7140,0
20480,12,1198%,7476,0
20480,16,1597%,7764,0
24576,1,99%,6896,0
24576,2,199%,7120,0
24576,4,399%,7272,0
24576,8,799%,7268,0
24576,12,1198%,7724,0
24576,16,1597%,7916,0
32768,1,99%,6764,0
32768,2,199%,6956,0
32768,4,399%,7048,0
32768,8,799%,7404,0
32768,12,1198%,7760,0
32768,16,1597%,8224,0
65536,1,99%,6828,0
65536,2,199%,7176,0
65536,4,399%,7380,0
65536,8,799%,8140,0
65536,12,1198%,8612,0
65536,16,1597%,9224,0
